Ticker,Name,Industry,Nifty 500,Nifty MidSmallcap 400,Nifty Smallcap 250,Nifty Midcap 150
360ONE,360 ONE,Financial Services,True,True,False,True
3MINDIA,3M India Ltd.,Diversified,True,True,False,True
AADHARHFC,Aadhar Housing Finance Ltd.,Financial Services,True,True,True,False
AARTIIND,Aarti Industries Ltd.,Chemicals,True,True,True,False
AAVAS,Aavas Financiers Ltd.,Financial Services,True,True,True,False
ABB,A B B,Capital Goods,True,False,False,False
ABBOTINDIA,Abbott India,Pharmaceuticals,True,True,False,True
ABCAPITAL,Aditya Birla Cap,Financial Services,True,True,False,True
ABDL,Allied Blenders and Distillers Ltd.,Fast Moving Consumer Goods,True,True,True,False
ABFRL,Aditya Birla Fashion and Retail Ltd.,Consumer Services,True,True,True,False
ABLBL,Aditya Birla Lifestyle Brands Ltd.,Consumer Services,True,True,True,False
ABREL,Aditya Birla Real Estate Ltd.,Realty,True,True,True,False
ABSLAMC,Aditya Birla Sun Life AMC Ltd.,Financial Services,True,True,True,False
ACC,ACC Ltd.,Construction Materials,True,True,False,True
ACE,Action Construction Equipment Ltd.,Capital Goods,True,True,True,False
ACMESOLAR,ACME Solar Holdings Ltd.,Power,True,True,True,False
ACUTAAS,Acutaas Chemicals Ltd.,Healthcare,True,True,True,False
ADANIENSOL,Adani Energy Sol,Power,True,False,False,False
ADANIENT,Adani Enterp.,Diversified,True,False,False,False
ADANIGREEN,Adani Green,Power,True,False,False,False
ADANIPORTS,Adani Ports,Port,True,False,False,False
ADANIPOWER,Adani Power,Power,True,False,False,False
AEGISLOG,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,True,True,True,False
AEGISVOPAK,Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,True,True,True,False
AFCONS,Afcons Infrastructure Ltd.,Construction,True,True,True,False
AFFLE,Affle 3i Ltd.,Information Technology,True,True,True,False
AIAENG,AIA Engineering,Capital Goods,True,True,False,True
AIIL,Authum Invest,Financial Services,True,True,False,True
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,Healthcare,True,True,False,True
ALKEM,Alkem Lab,Pharmaceuticals,True,True,False,True
AMBER,Amber Enterprises India Ltd.,Consumer Durables,True,True,True,False
AMBUJACEM,Ambuja Cements,Cement,True,False,False,False
ANANDRATHI,Anand Rathi Wealth Ltd.,Financial Services,True,True,True,False
ANANTRAJ,Anant Raj Ltd.,Realty,True,True,True,False
ANGELONE,Angel One Ltd.,Financial Services,True,True,True,False
ANTHEM,Anthem Bioscienc,,True,True,False,True
ANURAS,Anupam Rasayan India Ltd.,Chemicals,True,True,True,False
APARINDS,Apar Inds.,Capital Goods,True,True,False,True
APLAPOLLO,APL Apollo Tubes,Steel Pipes,True,True,False,True
APOLLOHOSP,Apollo Hospitals,Healthcare,True,False,False,False
APOLLOTYRE,Apollo Tyres Ltd.,Automobile and Auto Components,True,True,False,True
APTUS,Aptus Value Housing Finance India Ltd.,Financial Services,True,True,True,False
ARE&M,Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,True,True,True,False
ASAHIINDIA,Asahi India Glass Ltd.,Automobile and Auto Components,True,True,True,False
ASHOKLEY,Ashok Leyland,Automobile,True,True,False,True
ASIANPAINT,Asian Paints,Paints,True,False,False,False
ASTERDM,Aster DM Healthcare Ltd.,Healthcare,True,True,True,False
ASTRAL,Astral,Plastic Products,True,True,False,True
ATGL,Adani Total Gas,Gas,True,True,False,True
ATHERENERG,Ather Energy Ltd.,Automobile and Auto Components,True,True,True,False
ATUL,Atul Ltd.,Chemicals,True,True,True,False
AUBANK,AU Small Finance,Banks,True,True,False,True
AUROPHARMA,Aurobindo Pharma,Pharmaceuticals,True,True,False,True
AWL,AWL Agri Business Ltd.,Fast Moving Consumer Goods,True,True,False,True
AXISBANK,Axis Bank,Banks,True,False,False,False
BAJAJ-AUTO,Bajaj Auto,Automobile,True,False,False,False
BAJAJFINSV,Bajaj Finserv,Financial Services,True,False,False,False
BAJAJHFL,Bajaj Housing,Financial Services,True,True,False,True
BAJAJHLDNG,Bajaj Holdings,Financial Services,True,False,False,False
BAJFINANCE,Bajaj Finance,Financial Services,True,False,False,False
BALKRISIND,Balkrishna Inds,Auto Ancillaries,True,True,False,True
BALRAMCHIN,Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,True,True,True,False
BANDHANBNK,Bandhan Bank Ltd.,Financial Services,True,True,True,False
BANKBARODA,Bank of Baroda,Banks,True,False,False,False
BANKINDIA,Bank of India,Banks,True,True,False,True
BATAINDIA,Bata India Ltd.,Consumer Durables,True,True,True,False
BAYERCROP,Bayer Cropscience Ltd.,Chemicals,True,True,True,False
BBTC,Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,True,True,True,False
BDL,Bharat Dynamics,Aerospace & Defence,True,True,False,True
BEL,Bharat Electron,Capital Goods,True,False,False,False
BELRISE,Belrise Industries Ltd.,Automobile and Auto Components,True,True,True,False
BEML,BEML Ltd.,Capital Goods,True,True,True,False
BERGEPAINT,Berger Paints,Paints,True,True,False,True
BHARATFORG,Bharat Forge,Auto Ancillaries,True,True,False,True
BHARTIARTL,Bharti Airtel,Telecom,True,False,False,False
BHARTIHEXA,Bharti Hexacom,Telecom,True,True,False,True
BHEL,B H E L,Capital Goods,True,True,False,True
BIKAJI,Bikaji Foods International Ltd.,Fast Moving Consumer Goods,True,True,True,False
BIOCON,Biocon,Pharmaceuticals,True,True,False,True
BLS,BLS International Services Ltd.,Consumer Services,True,True,True,False
BLUEDART,Blue Dart Express Ltd.,Services,True,True,True,False
BLUEJET,Blue Jet Healthcare Ltd.,Healthcare,True,True,True,False
BLUESTARCO,Blue Star,Consumer Durables,True,True,False,True
BOSCHLTD,Bosch,Auto Ancillaries,True,False,False,False
BPCL,B P C L,Oil & Gas,True,False,False,False
BRIGADE,Brigade Enterprises Ltd.,Realty,True,True,True,False
BRITANNIA,Britannia Inds.,FMCG,True,False,False,False
BSE,BSE,Financial Services,True,True,False,True
BSOFT,Birlasoft Ltd.,Information Technology,True,True,True,False
CAMS,Computer Age Management Services Ltd.,Financial Services,True,True,True,False
CANBK,Canara Bank,Banks,True,False,False,False
CANFINHOME,Can Fin Homes Ltd.,Financial Services,True,True,True,False
CANHLIFE,Canara HSBC Life Insurance Company Ltd.,Financial Services,True,True,True,False
CAPLIPOINT,Caplin Point Laboratories Ltd.,Healthcare,True,True,True,False
CARBORUNIV,Carborundum Universal Ltd.,Capital Goods,True,True,True,False
CARTRADE,Cartrade Tech Ltd.,Consumer Services,True,True,True,False
CASTROLIND,Castrol India Ltd.,Oil Gas & Consumable Fuels,True,True,True,False
CCL,CCL Products (I) Ltd.,Fast Moving Consumer Goods,True,True,True,False
CDSL,Central Depository Services (India) Ltd.,Financial Services,True,True,True,False
CEATLTD,Ceat Ltd.,Automobile and Auto Components,True,True,True,False
CEMPRO,Cemindia Projects Ltd.,Construction,True,True,True,False
CENTRALBK,Central Bank of India,Financial Services,True,True,True,False
CESC,CESC Ltd.,Power,True,True,True,False
CGCL,Capri Global Capital Ltd.,Financial Services,True,True,True,False
CGPOWER,CG Power & Ind,Capital Goods,True,False,False,False
CHALET,Chalet Hotels Ltd.,Consumer Services,True,True,True,False
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.,Chemicals,True,True,True,False
CHENNPETRO,Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,True,True,True,False
CHOICEIN,Choice International Ltd.,Financial Services,True,True,True,False
CHOLAFIN,Cholaman.Inv.&Fn,Financial Services,True,False,False,False
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd.,Financial Services,True,True,True,False
CIEINDIA,CIE Automotive India Ltd.,Automobile and Auto Components,True,True,True,False
CIPLA,Cipla,Pharmaceuticals,True,False,False,False
CLEAN,Clean Science and Technology Ltd.,Chemicals,True,True,True,False
COALINDIA,Coal India,Mining,True,False,False,False
COCHINSHIP,Cochin Shipyard,Shipbuilding,True,True,False,True
COFORGE,Coforge,IT,True,True,False,True
COHANCE,Cohance Lifesciences Ltd.,Healthcare,True,True,True,False
COLPAL,Colgate-Palmoliv,FMCG,True,True,False,True
CONCOR,Container Corpn.,Logistics,True,True,False,True
CONCORDBIO,Concord Biotech Ltd.,Healthcare,True,True,True,False
COROMANDEL,Coromandel Inter,Fertilizers,True,True,False,True
CPPLUS,Aditya Infotech Ltd.,Capital Goods,True,True,True,False
CRAFTSMAN,Craftsman Automation Ltd.,Automobile and Auto Components,True,True,True,False
CREDITACC,CreditAccess Grameen Ltd.,Financial Services,True,True,True,False
CRISIL,CRISIL Ltd.,Financial Services,True,True,False,True
CROMPTON,Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,True,True,True,False
CUB,City Union Bank Ltd.,Financial Services,True,True,True,False
CUMMINSIND,Cummins India,Capital Goods,True,False,False,False
CYIENT,Cyient Ltd.,Information Technology,True,True,True,False
DABUR,Dabur India,FMCG,True,True,False,True
DALBHARAT,Dalmia Bharat Ltd.,Construction Materials,True,True,False,True
DATAPATTNS,Data Patterns (India) Ltd.,Capital Goods,True,True,True,False
DCMSHRIRAM,DCM Shriram Ltd.,Diversified,True,True,True,False
DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,True,True,True,False
DEEPAKNTR,Deepak Nitrite Ltd.,Chemicals,True,True,True,False
DELHIVERY,Delhivery Ltd.,Services,True,True,True,False
DEVYANI,Devyani International Ltd.,Consumer Services,True,True,True,False
DIVISLAB,Divi's Lab.,Pharmaceuticals,True,False,False,False
DIXON,Dixon Technolog.,Consumer Electronics,True,True,False,True
DLF,DLF,Real Estate,True,False,False,False
DMART,Avenue Super.,Retail,True,False,False,False
DOMS,DOMS Industries Ltd.,Fast Moving Consumer Goods,True,True,True,False
DRREDDY,Dr Reddy's Labs,Pharmaceuticals,True,False,False,False
ECLERX,eClerx Services Ltd.,Services,True,True,True,False
EICHERMOT,Eicher Motors,Automobile,True,False,False,False
EIDPARRY,E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods,True,True,True,False
EIHOTEL,EIH Ltd.,Consumer Services,True,True,True,False
ELECON,Elecon Engineering Co. Ltd.,Capital Goods,True,True,True,False
ELGIEQUIP,Elgi Equipments Ltd.,Capital Goods,True,True,True,False
EMAMILTD,Emami Ltd.,Fast Moving Consumer Goods,True,True,True,False
EMCURE,Emcure Pharmaceuticals Ltd.,Healthcare,True,True,True,False
EMMVEE,Emmvee Photovoltaic Power Ltd.,Capital Goods,True,True,True,False
ENDURANCE,Endurance Technologies Ltd.,Automobile and Auto Components,True,True,False,True
ENGINERSIN,Engineers India Ltd.,Construction,True,True,True,False
ENRIN,Siemens Ener.Ind,Capital Goods,True,False,False,False
