Market Cap Rank,S.No.,Name,Ticker,Industry,YFinance Ticker,Screener URL,Market Cap As Of,Market Cap Source,Market Cap Cr
1,160,Reliance Industries,RELIANCE,Oil & Gas,RELIANCE.NS,https://www.screener.in/company/RELIANCE/consolidated/,2026-07-16,Saved Screener.in FII scan,1754628.0
2,196,HDFC Bank,HDFCBANK,Banks,HDFCBANK.NS,https://www.screener.in/company/HDFCBANK/consolidated/,2026-07-16,Saved Screener.in FII scan,1232106.0
3,137,Bharti Airtel,BHARTIARTL,Telecom,BHARTIARTL.NS,https://www.screener.in/company/BHARTIARTL/consolidated/,2026-07-16,Saved Screener.in FII scan,1136244.0
4,195,ICICI Bank,ICICIBANK,Banks,ICICIBANK.NS,https://www.screener.in/company/ICICIBANK/consolidated/,2026-07-16,Saved Screener.in FII scan,987233.0
5,208,SBI,SBIN,Banks,SBIN.NS,https://www.screener.in/company/SBIN/consolidated/,2026-07-16,Saved Screener.in FII scan,957861.0
6,7,TCS,TCS,IT,TCS.NS,https://www.screener.in/company/TCS/consolidated/,2026-07-16,Saved Screener.in FII scan,739320.0
7,150,Bajaj Finance,BAJFINANCE,Financial Services,BAJFINANCE.NS,https://www.screener.in/company/BAJFINANCE/consolidated/,2026-07-16,Saved Screener.in FII scan,620105.0
8,125,Larsen & Toubro,LT,Construction,LT.NS,https://www.screener.in/company/LT/consolidated/,2026-07-16,Saved Screener.in FII scan,571973.0
9,12,Life Insurance,LICI,Insurance,LICI.NS,https://www.screener.in/company/LICI/consolidated/,2026-07-16,Saved Screener.in FII scan,545088.0
10,53,Hind. Unilever,HINDUNILVR,FMCG,HINDUNILVR.NS,https://www.screener.in/company/HINDUNILVR/consolidated/,2026-07-16,Saved Screener.in FII scan,497749.0
11,85,Sun Pharma.Inds.,SUNPHARMA,Pharmaceuticals,SUNPHARMA.NS,https://www.screener.in/company/SUNPHARMA/consolidated/,2026-07-16,Saved Screener.in FII scan,449396.0
12,76,Maruti Suzuki,MARUTI,Automobile,MARUTI.NS,https://www.screener.in/company/MARUTI/consolidated/,2026-07-16,Saved Screener.in FII scan,443543.0
13,72,Adani Power,ADANIPOWER,Power,ADANIPOWER.NS,https://www.screener.in/company/ADANIPOWER/consolidated/,2026-07-16,Saved Screener.in FII scan,431302.0
14,214,Axis Bank,AXISBANK,Banks,AXISBANK.NS,https://www.screener.in/company/AXISBANK/consolidated/,2026-07-16,Saved Screener.in FII scan,421866.0
15,134,Adani Ports,ADANIPORTS,Port,ADANIPORTS.NS,https://www.screener.in/company/ADANIPORTS/consolidated/,2026-07-16,Saved Screener.in FII scan,415865.0
16,26,Infosys,INFY,IT,INFY.NS,https://www.screener.in/company/INFY/consolidated/,2026-07-16,Saved Screener.in FII scan,409633.0
17,185,Kotak Mah. Bank,KOTAKBANK,Banks,KOTAKBANK.NS,https://www.screener.in/company/KOTAKBANK/consolidated/,2026-07-16,Saved Screener.in FII scan,391751.0
18,173,Adani Enterp.,ADANIENT,Diversified,ADANIENT.NS,https://www.screener.in/company/ADANIENT/consolidated/,2026-07-16,Saved Screener.in FII scan,390031.0
19,93,Titan Company,TITAN,Consumer Durables,TITAN.NS,https://www.screener.in/company/TITAN/consolidated/,2026-07-16,Saved Screener.in FII scan,389712.0
20,130,M & M,M&M,Automobile,M&M.NS,https://www.screener.in/company/M&M/consolidated/,2026-07-16,Saved Screener.in FII scan,386060.0
21,33,ITC,ITC,FMCG,ITC.NS,https://www.screener.in/company/ITC/consolidated/,2026-07-16,Saved Screener.in FII scan,360222.0
22,153,NTPC,NTPC,Power,NTPC.NS,https://www.screener.in/company/NTPC/consolidated/,2026-07-16,Saved Screener.in FII scan,343989.0
23,152,UltraTech Cem.,ULTRACEMCO,Cement,ULTRACEMCO.NS,https://www.screener.in/company/ULTRACEMCO/consolidated/,2026-07-16,Saved Screener.in FII scan,333133.0
24,188,JSW Steel,JSWSTEEL,Metals,JSWSTEEL.NS,https://www.screener.in/company/JSWSTEEL/consolidated/,2026-07-16,Saved Screener.in FII scan,301084.0
