S.No.,Name,Ticker,Industry
1,ICICI AMC,ICICIPRULI,Insurance
2,Colgate-Palmoliv,COLPAL,FMCG
3,Nestle India,NESTLEIND,FMCG
4,Hindustan Zinc,HINDZINC,Metals & Mining
5,Siemens Ener.Ind,ENRIN,Capital Goods
6,Glaxosmi. Pharma,GLAXO,Pharmaceuticals
7,TCS,TCS,IT
8,Page Industries,PAGEIND,Textiles
9,LG Electronics,LGEINDIA,N/A
10,GE Vernova T&D,GVT&D,Capital Goods
11,Hyundai Motor I,HYUNDAI,Automobile
12,Life Insurance,LICI,Insurance
13,Britannia Inds.,BRITANNIA,FMCG
14,I R C T C,IRCTC,Tourism & Hospitality
15,Coal India,COALINDIA,Mining
16,BSE,BSE,Financial Services
17,Abbott India,ABBOTINDIA,Pharmaceuticals
18,Oracle Fin.Serv.,OFSS,IT
19,Marico,MARICO,FMCG
20,Natl. Aluminium,NATIONALUM,Metals
21,Mazagon Dock,MAZDOCK,Shipbuilding
22,HDFC AMC,HDFCAMC,Financial Services
23,Multi Comm. Exc.,MCX,Financial Services
24,Premier Energies,PREMIERENE,Renewable Energy
25,Nippon Life Ind.,NAM-INDIA,Financial Services
26,Infosys,INFY,IT
27,Dixon Technolog.,DIXON,Consumer Electronics
28,Bharat Electron,BEL,Capital Goods
29,Lloyds Metals,LLOYDSME,Metals
30,Solar Industries,SOLARINDS,Chemicals
31,CG Power & Ind,CGPOWER,Capital Goods
32,Billionbrains,GROWw,N/A
33,ITC,ITC,FMCG
34,Cummins India,CUMMINSIND,Capital Goods
35,Waaree Energies,WAAREEENER,Renewable Energy
36,Persistent Systems,PERSISTENT,IT
37,Hind.Aeronautics,HAL,Aerospace & Defence
38,Apar Inds.,APARINDS,Capital Goods
39,Suzlon Energy,SUZLON,Renewable Energy
40,Authum Invest,AIIL,Financial Services
41,HCL Technologies,HCLTECH,IT
42,Hero Motocorp,HEROMOTOCO,Automobile
43,A B B,ABB,Capital Goods
44,Pidilite Inds.,PIDILITIND,Chemicals
45,Eicher Motors,EICHERMOT,Automobile
46,Polycab India,POLYCAB,Capital Goods
47,LTM,LTM,IT
48,NMDC,NMDC,Mining
49,Indus Towers,INDUSTOWER,Telecom
50,Anthem Bioscienc,ANTHEM,N/A
51,Bajaj Auto,BAJAJ-AUTO,Automobile
52,Schaeffler India,SCHAEFFLER,Auto Ancillaries
53,Hind. Unilever,HINDUNILVR,FMCG
54,Trent,TRENT,Retail
55,Torrent Pharma.,TORNTPHARM,Pharmaceuticals
56,United Spirits,UNITDSPR,Beverages
57,Blue Star,BLUESTARCO,Consumer Durables
58,Asian Paints,ASIANPAINT,Paints
59,Petronet LNG,PETRONET,Oil & Gas
60,Vedanta,VEDL,Metals
61,Havells India,HAVELLS,Consumer Durables
62,Berger Paints,BERGEPAINT,Paints
63,Zydus Lifesci.,ZYDUSLIFE,Pharmaceuticals
64,Hindustan Copper,HINDCOPPER,Metals
65,ICICI Lombard,ICICIGI,Insurance
66,Coromandel Inter,COROMANDEL,Fertilizers
67,Tech Mahindra,TECHM,IT
68,P I Industries,PIIND,Chemicals
69,Cipla,CIPLA,Pharmaceuticals
70,Mphasis,MPHASIS,IT
71,Dr Reddy's Labs,DRREDDY,Pharmaceuticals
72,Adani Power,ADANIPOWER,Power
73,APL Apollo Tubes,APLAPOLLO,Steel Pipes
74,Supreme Inds.,SUPREMEIND,Plastics
75,Tube Investments,TIINDIA,Auto Ancillaries
76,Maruti Suzuki,MARUTI,Automobile
77,Lupin,LUPIN,Pharmaceuticals
78,KEI Industries,KEI,Capital Goods
79,Bosch,BOSCHLTD,Auto Ancillaries
80,Divi's Lab.,DIVISLAB,Pharmaceuticals
81,Alkem Lab,ALKEM,Pharmaceuticals
82,Cochin Shipyard,COCHINSHIP,Shipbuilding
83,Coforge,COFORGE,IT
84,Dabur India,DABUR,FMCG
85,Sun Pharma.Inds.,SUNPHARMA,Pharmaceuticals
86,Tata Motors PVeh,TMPV,Automobile
87,Astral,ASTRAL,Plastic Products
88,Varun Beverages,VBL,Beverages
89,Bharat Dynamics,BDL,Aerospace & Defence
90,Hitachi Energy,POWERINDIA,Capital Goods
91,Glenmark Pharma.,GLENMARK,Pharmaceuticals
92,Godrej Consumer,GODREJCP,FMCG
93,Titan Company,TITAN,Consumer Durables
94,AIA Engineering,AIAENG,Capital Goods
95,Uno Minda,UNOMINDA,Auto Ancillaries
96,Motil.Oswal.Fin.,MOTILALOFS,Financial Services
97,Jindal Stain.,JSL,Metals
98,Avenue Super.,DMART,Retail
99,Wipro,WIPRO,IT
100,Oberoi Realty,OBEROIRLTY,Real Estate
101,Voltas,VOLTAS,Consumer Durables
102,Adani Total Gas,ATGL,Gas
103,Bharti Hexacom,BHARTIHEXA,Telecom
104,Interglobe Aviat,INDIGO,Airlines
105,Indian Hotels Co,INDHOTEL,Hospitality
106,Linde India,LINDEINDIA,Chemicals
107,Balkrishna Inds,BALKRISIND,Auto Ancillaries
108,Apollo Hospitals,APOLLOHOSP,Healthcare
109,Lodha Developers,LODHA,Real Estate
110,Radico Khaitan,RADICO,Beverages
111,B P C L,BPCL,Oil & Gas
112,Thermax,THERMAX,Capital Goods
113,Mankind Pharma,MANKIND,Pharmaceuticals
114,Torrent Power,TORNTPOWER,Power
115,Siemens,SIEMENS,Capital Goods
116,Patanjali Foods,PATANJALI,FMCG
117,TVS Motor Co.,TVSMOTOR,Automobile
118,Kalyan Jewellers,KALYANKJIL,Retail
119,SBI Life Insuran,SBILIFE,Insurance
120,Max Healthcare,MAXHEALTH,Healthcare
121,Hindalco Inds.,HINDALCO,Metals
122,Ipca Labs.,IPCALAB,Pharmaceuticals
123,Rail Vikas,RVNL,Construction
124,Tata Comm,TATACOMM,Telecom
125,Larsen & Toubro,LT,Construction
126,Ashok Leyland,ASHOKLEY,Automobile
127,Aurobindo Pharma,AUROPHARMA,Pharmaceuticals
128,GAIL (India),GAIL,Gas
129,J K Cements,JKCEMENT,Cement
130,M & M,M&M,Automobile
131,JSW Infrast,JSWINFRA,Infrastructure
132,United Breweries,UBL,Beverages
133,Container Corpn.,CONCOR,Logistics
134,Adani Ports,ADANIPORTS,Port
135,Samvardh. Mothe.,MOTHERSON,Auto Ancillaries
136,MRF,MRF,Auto Ancillaries
137,Bharti Airtel,BHARTIARTL,Telecom
138,General Insuranc,GICRE,Insurance
139,Muthoot Finance,MUTHOOTFIN,Financial Services
140,Knowledge Realty,KRT,N/A
141,Vishal Mega Mart,VMM,N/A
142,Oil India,OIL,Oil & Gas
143,Power Grid Corpn,POWERGRID,Power
144,SRF,SRF,Chemicals
145,Bharat Forge,BHARATFORG,Auto Ancillaries
146,360 ONE,360ONE,Financial Services
147,O N G C,ONGC,Oil & Gas
148,Fortis Health.,FORTIS,Healthcare
149,Shriram Finance,SHRIRAMFIN,Financial Services
150,Bajaj Finance,BAJFINANCE,Financial Services
151,Bajaj Finserv,BAJAJFINSV,Financial Services
152,UltraTech Cem.,ULTRACEMCO,Cement
153,NTPC,NTPC,Power
154,Tata Power Co.,TATAPOWER,Power
155,Phoenix Mills,PHOENIXLTD,Real Estate
156,Jindal Steel,JINDALSTEL,Metals
157,H P C L,HINDPETRO,Oil & Gas
158,NLC India,NLCINDIA,Power
159,Ambuja Cements,AMBUJACEM,Cement
160,Reliance Industries,RELIANCE,Oil & Gas
161,SBI Cards,SBICARD,Financial Services
162,Cholaman.Inv.&Fn,CHOLAFIN,Financial Services
163,HDFC Life Insur.,HDFCLIFE,Insurance
164,REC Ltd,RECLTD,Financial Services
165,Gujarat Fluoroch,FLUOROCHEM,Chemicals
166,Bajaj Holdings,BAJAJHLDNG,Financial Services
167,Power Fin.Corpn.,PFC,Financial Services
168,Adani Energy Sol,ADANIENSOL,Power
169,Sundaram Finance,SUNDARMFIN,Financial Services
170,H U D C O,HUDCO,Financial Services
171,FSN E-Commerce,NYKAA,Retail
172,Bajaj Housing,BAJAJHFL,Financial Services
173,Adani Enterp.,ADANIENT,Diversified
174,Indian Renewable,IREDA,Financial Services
175,Aditya Birla Cap,ABCAPITAL,Financial Services
176,Tata Consumer,TATACONSUM,FMCG
177,Laurus Labs,LAURUSLABS,Pharmaceuticals
178,HDB FINANC SER,HDBFS,Financial Services
179,Tata Steel,TATASTEEL,Metals
180,M & M Fin. Serv.,M&MFIN,Financial Services
181,F A C T,FACT,Fertilizers
182,Tata Capital,TATACAP,Financial Services
183,AU Small Finance,AUBANK,Banks
184,L&T Finance Ltd,LTF,Financial Services
185,Kotak Mah. Bank,KOTAKBANK,Banks
186,Altius Telecom,543225,N/A
187,Max Financial,MFSL,Insurance
188,JSW Steel,JSWSTEEL,Metals
189,Piramal Finance.,PIRAMALFIN,Financial Services
190,Prestige Estates,PRESTIGE,Real Estate
191,UPL,UPL,Chemicals
192,Grasim Inds,GRASIM,Cement
193,NHPC Ltd,NHPC,Power
194,I O C L,IOC,Oil & Gas
195,ICICI Bank,ICICIBANK,Banks
196,HDFC Bank,HDFCBANK,Banks
197,Federal Bank,FEDERALBNK,Banks
198,Adani Green,ADANIGREEN,Power
199,GMR Airports,GMRAIRPORT,Infrastructure
200,Canara Bank,CANBK,Banks
201,IDBI Bank,IDBI,Banks
202,S A I L,SAIL,Metals
203,Shree Cement,SHREECEM,Cement
204,Godrej Propert.,GODREJPROP,Real Estate
205,Mindspace Busine,543217,REIT
206,DLF,DLF,Real Estate
207,JSW Energy,JSWENERGY,Power
208,SBI,SBIN,Banks
209,Indian Bank,INDIANB,Banks
210,Punjab Natl.Bank,PNB,Banks
211,Union Bank (I),UNIONBANK,Banks
212,Bank of Baroda,BANKBARODA,Banks
213,Biocon,BIOCON,Pharmaceuticals
214,Axis Bank,AXISBANK,Banks
215,Bank of India,BANKINDIA,Banks
216,Bank of Maha,MAHABANK,Banks
217,IDFC First Bank,IDFCFIRSTB,Banks
218,Yes Bank,YESBANK,Banks
219,I O B,IOB,Banks
220,PB Fintech.,POLICYBZR,Financial Services
221,I R F C,IRFC,Financial Services
222,IndusInd Bank,INDUSINDBK,Banks
223,Lenskart Solut.,LENSKART,N/A
224,NTPC Green Ene.,NTPCGREEN,Power
225,B H E L,BHEL,Capital Goods
226,Embassy Off.REIT,542602,REIT
227,Info Edg.(India),NAUKRI,IT
228,Eternal,ETERNAL,N/A
229,Jio Financial,JIOFIN,Financial Services
230,Vodafone Idea,IDEA,Telecom
231,Meesho,MEESHO,N/A
232,One 97,PAYTM,Financial Services
233,Swiggy,SWIGGY,Services
234,3M India Ltd.,3MINDIA,Diversified
235,ACC Ltd.,ACC,Construction Materials
236,ACME Solar Holdings Ltd.,ACMESOLAR,Power
237,AWL Agri Business Ltd.,AWL,Fast Moving Consumer Goods
238,Aadhar Housing Finance Ltd.,AADHARHFC,Financial Services
239,Aarti Industries Ltd.,AARTIIND,Chemicals
240,Aavas Financiers Ltd.,AAVAS,Financial Services
241,Action Construction Equipment Ltd.,ACE,Capital Goods
242,Acutaas Chemicals Ltd.,ACUTAAS,Healthcare
243,Aditya Birla Fashion and Retail Ltd.,ABFRL,Consumer Services
244,Aditya Birla Lifestyle Brands Ltd.,ABLBL,Consumer Services
245,Aditya Birla Real Estate Ltd.,ABREL,Realty
246,Aditya Birla Sun Life AMC Ltd.,ABSLAMC,Financial Services
247,Aditya Infotech Ltd.,CPPLUS,Capital Goods
248,Aegis Logistics Ltd.,AEGISLOG,Oil Gas & Consumable Fuels
249,Aegis Vopak Terminals Ltd.,AEGISVOPAK,Oil Gas & Consumable Fuels
250,Afcons Infrastructure Ltd.,AFCONS,Construction
251,Affle 3i Ltd.,AFFLE,Information Technology
252,Ajanta Pharmaceuticals Ltd.,AJANTPHARM,Healthcare
253,Allied Blenders and Distillers Ltd.,ABDL,Fast Moving Consumer Goods
254,Amara Raja Energy & Mobility Ltd.,ARE&M,Automobile and Auto Components
255,Amber Enterprises India Ltd.,AMBER,Consumer Durables
256,Anand Rathi Wealth Ltd.,ANANDRATHI,Financial Services
257,Anant Raj Ltd.,ANANTRAJ,Realty
258,Angel One Ltd.,ANGELONE,Financial Services
259,Anupam Rasayan India Ltd.,ANURAS,Chemicals
260,Apollo Tyres Ltd.,APOLLOTYRE,Automobile and Auto Components
261,Aptus Value Housing Finance India Ltd.,APTUS,Financial Services
262,Asahi India Glass Ltd.,ASAHIINDIA,Automobile and Auto Components
263,Aster DM Healthcare Ltd.,ASTERDM,Healthcare
264,Ather Energy Ltd.,ATHERENERG,Automobile and Auto Components
265,Atul Ltd.,ATUL,Chemicals
266,BEML Ltd.,BEML,Capital Goods
267,BLS International Services Ltd.,BLS,Consumer Services
268,Balrampur Chini Mills Ltd.,BALRAMCHIN,Fast Moving Consumer Goods
269,Bandhan Bank Ltd.,BANDHANBNK,Financial Services
270,Bata India Ltd.,BATAINDIA,Consumer Durables
271,Bayer Cropscience Ltd.,BAYERCROP,Chemicals
272,Belrise Industries Ltd.,BELRISE,Automobile and Auto Components
273,Bikaji Foods International Ltd.,BIKAJI,Fast Moving Consumer Goods
274,Birlasoft Ltd.,BSOFT,Information Technology
275,Blue Dart Express Ltd.,BLUEDART,Services
276,Blue Jet Healthcare Ltd.,BLUEJET,Healthcare
277,Bombay Burmah Trading Corporation Ltd.,BBTC,Fast Moving Consumer Goods
278,Brainbees Solutions Ltd.,FIRSTCRY,Consumer Services
279,Brigade Enterprises Ltd.,BRIGADE,Realty
280,C.E. Info Systems Ltd.,MAPMYINDIA,Information Technology
281,CCL Products (I) Ltd.,CCL,Fast Moving Consumer Goods
282,CESC Ltd.,CESC,Power
283,CRISIL Ltd.,CRISIL,Financial Services
284,Can Fin Homes Ltd.,CANFINHOME,Financial Services
285,Canara HSBC Life Insurance Company Ltd.,CANHLIFE,Financial Services
286,Caplin Point Laboratories Ltd.,CAPLIPOINT,Healthcare
287,Capri Global Capital Ltd.,CGCL,Financial Services
288,Carborundum Universal Ltd.,CARBORUNIV,Capital Goods
289,Cartrade Tech Ltd.,CARTRADE,Consumer Services
290,Castrol India Ltd.,CASTROLIND,Oil Gas & Consumable Fuels
291,Ceat Ltd.,CEATLTD,Automobile and Auto Components
292,Cemindia Projects Ltd.,CEMPRO,Construction
293,Central Bank of India,CENTRALBK,Financial Services
294,Central Depository Services (India) Ltd.,CDSL,Financial Services
295,Chalet Hotels Ltd.,CHALET,Consumer Services
296,Chambal Fertilizers & Chemicals Ltd.,CHAMBLFERT,Chemicals
297,Chennai Petroleum Corporation Ltd.,CHENNPETRO,Oil Gas & Consumable Fuels
298,Choice International Ltd.,CHOICEIN,Financial Services
299,Cholamandalam Financial Holdings Ltd.,CHOLAHLDNG,Financial Services
300,City Union Bank Ltd.,CUB,Financial Services
301,Clean Science and Technology Ltd.,CLEAN,Chemicals
302,Cohance Lifesciences Ltd.,COHANCE,Healthcare
303,Computer Age Management Services Ltd.,CAMS,Financial Services
304,Concord Biotech Ltd.,CONCORDBIO,Healthcare
305,Craftsman Automation Ltd.,CRAFTSMAN,Automobile and Auto Components
306,CreditAccess Grameen Ltd.,CREDITACC,Financial Services
307,Crompton Greaves Consumer Electricals Ltd.,CROMPTON,Consumer Durables
308,Cyient Ltd.,CYIENT,Information Technology
309,DCM Shriram Ltd.,DCMSHRIRAM,Diversified
310,DOMS Industries Ltd.,DOMS,Fast Moving Consumer Goods
311,Dalmia Bharat Ltd.,DALBHARAT,Construction Materials
312,Data Patterns (India) Ltd.,DATAPATTNS,Capital Goods
313,Deepak Fertilisers & Petrochemicals Corp. Ltd.,DEEPAKFERT,Chemicals
314,Deepak Nitrite Ltd.,DEEPAKNTR,Chemicals
315,Delhivery Ltd.,DELHIVERY,Services
316,Devyani International Ltd.,DEVYANI,Consumer Services
317,Dr. Lal Path Labs Ltd.,LALPATHLAB,Healthcare
318,Dummy Vedanta Ltd. 1,DUMMYVEDL1,Metals & Mining
319,Dummy Vedanta Ltd. 2,DUMMYVEDL2,Power
320,Dummy Vedanta Ltd. 3,DUMMYVEDL3,Oil Gas & Consumable Fuels
321,Dummy Vedanta Ltd. 4,DUMMYVEDL4,Metals & Mining
322,E.I.D. Parry (India) Ltd.,EIDPARRY,Fast Moving Consumer Goods
323,EIH Ltd.,EIHOTEL,Consumer Services
324,Elecon Engineering Co. Ltd.,ELECON,Capital Goods
325,Elgi Equipments Ltd.,ELGIEQUIP,Capital Goods
326,Emami Ltd.,EMAMILTD,Fast Moving Consumer Goods
327,Emcure Pharmaceuticals Ltd.,EMCURE,Healthcare
328,Emmvee Photovoltaic Power Ltd.,EMMVEE,Capital Goods
329,Endurance Technologies Ltd.,ENDURANCE,Automobile and Auto Components
330,Engineers India Ltd.,ENGINERSIN,Construction
331,Eris Lifesciences Ltd.,ERIS,Healthcare
332,Escorts Kubota Ltd.,ESCORTS,Capital Goods
333,Exide Industries Ltd.,EXIDEIND,Automobile and Auto Components
334,Finolex Cables Ltd.,FINCABLES,Capital Goods
335,Firstsource Solutions Ltd.,FSL,Services
336,Five-Star Business Finance Ltd.,FIVESTAR,Financial Services
337,Force Motors Ltd.,FORCEMOT,Automobile and Auto Components
338,Gabriel India Ltd.,GABRIEL,Automobile and Auto Components
339,Gallantt Ispat Ltd.,GALLANTT,Capital Goods
340,Garden Reach Shipbuilders & Engineers Ltd.,GRSE,Capital Goods
341,Gillette India Ltd.,GILLETTE,Fast Moving Consumer Goods
342,Gland Pharma Ltd.,GLAND,Healthcare
343,Global Health Ltd.,MEDANTA,Healthcare
344,Go Digit General Insurance Ltd.,GODIGIT,Financial Services
345,Godawari Power & Ispat Ltd.,GPIL,Capital Goods
346,Godfrey Phillips India Ltd.,GODFRYPHLP,Fast Moving Consumer Goods
347,Godrej Industries Ltd.,GODREJIND,Diversified
348,Granules India Ltd.,GRANULES,Healthcare
349,Graphite India Ltd.,GRAPHITE,Capital Goods
350,Gravita India Ltd.,GRAVITA,Metals & Mining
351,Great Eastern Shipping Co. Ltd.,GESHIP,Services
352,Gujarat Mineral Development Corporation Ltd.,GMDCLTD,Metals & Mining
353,Gujarat State Petronet Ltd.,GSPL,Oil Gas & Consumable Fuels
354,H.E.G. Ltd.,HEG,Capital Goods
355,HBL Engineering Ltd.,HBLENGINE,Capital Goods
356,HFCL Ltd.,HFCL,Telecommunication
357,Hexaware Technologies Ltd.,HEXT,Information Technology
358,Himadri Speciality Chemical Ltd.,HSCL,Chemicals
359,Home First Finance Company India Ltd.,HOMEFIRST,Financial Services
360,Honasa Consumer Ltd.,HONASA,Fast Moving Consumer Goods
361,Honeywell Automation India Ltd.,HONAUT,Capital Goods
362,ICICI Prudential Asset Management Company Ltd.,ICICIAMC,Financial Services
363,IFCI Ltd.,IFCI,Financial Services
364,IIFL Finance Ltd.,IIFL,Financial Services
365,IRB Infrastructure Developers Ltd.,IRB,Construction
366,IRCON International Ltd.,IRCON,Construction
367,ITC Hotels Ltd.,ITCHOTELS,Consumer Services
368,ITI Ltd.,ITI,Telecommunication
369,Indegene Ltd.,INDGN,Healthcare
370,India Cements Ltd.,INDIACEM,Construction Materials
371,Indiamart Intermesh Ltd.,INDIAMART,Consumer Services
372,Indian Energy Exchange Ltd.,IEX,Financial Services
373,Indraprastha Gas Ltd.,IGL,Oil Gas & Consumable Fuels
374,Inox Wind Ltd.,INOXWIND,Capital Goods
375,Intellect Design Arena Ltd.,INTELLECT,Information Technology
376,International Gemmological Institute (India) Ltd.,IGIL,Services
377,Inventurus Knowledge Solutions Ltd.,IKS,Information Technology
378,J.B. Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,Healthcare
379,JBM Auto Ltd.,JBMA,Automobile and Auto Components
380,JK Tyre & Industries Ltd.,JKTYRE,Automobile and Auto Components
381,JM Financial Ltd.,JMFINANCIL,Financial Services
382,JSW Cement Ltd.,JSWCEMENT,Construction Materials
383,JSW Dulux Ltd.,JSWDULUX,Consumer Durables
384,Jain Resource Recycling Ltd.,JAINREC,Metals & Mining
385,Jaiprakash Power Ventures Ltd.,JPPOWER,Power
386,Jammu & Kashmir Bank Ltd.,J&KBANK,Financial Services
387,Jindal Saw Ltd.,JINDALSAW,Capital Goods
388,Jubilant Foodworks Ltd.,JUBLFOOD,Consumer Services
389,Jubilant Ingrevia Ltd.,JUBLINGREA,Chemicals
390,Jubilant Pharmova Ltd.,JUBLPHARMA,Healthcare
391,Jupiter Wagons Ltd.,JWL,Capital Goods
392,Jyoti CNC Automation Ltd.,JYOTICNC,Capital Goods
393,K.P.R. Mill Ltd.,KPRMILL,Textiles
394,KPIT Technologies Ltd.,KPITTECH,Information Technology
395,Kajaria Ceramics Ltd.,KAJARIACER,Consumer Durables
396,Kalpataru Projects International Ltd.,KPIL,Construction
397,Karur Vysya Bank Ltd.,KARURVYSYA,Financial Services
398,Kaynes Technology India Ltd.,KAYNES,Capital Goods
399,Kec International Ltd.,KEC,Construction
400,Kfin Technologies Ltd.,KFINTECH,Financial Services
401,Kirloskar Oil Eng Ltd.,KIRLOSENG,Capital Goods
402,Krishna Institute of Medical Sciences Ltd.,KIMS,Healthcare
403,L&T Technology Services Ltd.,LTTS,Information Technology
404,LIC Housing Finance Ltd.,LICHSGFIN,Financial Services
405,LT Foods Ltd.,LTFOODS,Fast Moving Consumer Goods
406,Latent View Analytics Ltd.,LATENTVIEW,Information Technology
407,Leela Palaces Hotels & Resorts Ltd.,THELEELA,Consumer Services
408,Lemon Tree Hotels Ltd.,LEMONTREE,Consumer Services
409,MMTC Ltd.,MMTC,Services
410,Mahanagar Gas Ltd.,MGL,Oil Gas & Consumable Fuels
411,Manappuram Finance Ltd.,MANAPPURAM,Financial Services
412,Mangalore Refinery & Petrochemicals Ltd.,MRPL,Oil Gas & Consumable Fuels
413,Minda Corporation Ltd.,MINDACORP,Automobile and Auto Components
414,Motherson Sumi Wiring India Ltd.,MSUMI,Automobile and Auto Components
415,NATCO Pharma Ltd.,NATCOPHARM,Healthcare
416,NBCC (India) Ltd.,NBCC,Construction
417,NCC Ltd.,NCC,Construction
418,NMDC Steel Ltd.,NSLNISP,Metals & Mining
419,Narayana Hrudayalaya Ltd.,NH,Healthcare
420,Nava Ltd.,NAVA,Power
421,Navin Fluorine International Ltd.,NAVINFLUOR,Chemicals
422,Netweb Technologies India Ltd.,NETWEB,Information Technology
423,Neuland Laboratories Ltd.,NEULANDLAB,Healthcare
424,Newgen Software Technologies Ltd.,NEWGEN,Information Technology
425,Niva Bupa Health Insurance Company Ltd.,NIVABUPA,Financial Services
426,Nuvama Wealth Management Ltd.,NUVAMA,Financial Services
427,Nuvoco Vistas Corporation Ltd.,NUVOCO,Construction Materials
428,Ola Electric Mobility Ltd.,OLAELEC,Automobile and Auto Components
429,Olectra Greentech Ltd.,OLECTRA,Automobile and Auto Components
430,Onesource Specialty Pharma Ltd.,ONESOURCE,Healthcare
431,PCBL Chemical Ltd.,PCBL,Chemicals
432,PG Electroplast Ltd.,PGEL,Consumer Durables
433,PNB Housing Finance Ltd.,PNBHOUSING,Financial Services
434,PTC Industries Ltd.,PTCIL,Capital Goods
435,PVR INOX Ltd.,PVRINOX,Media Entertainment & Publication
436,Paradeep Phosphates Ltd.,PARADEEP,Chemicals
437,Pfizer Ltd.,PFIZER,Healthcare
438,Physicswallah Ltd.,PWL,Consumer Services
439,Pine Labs Ltd.,PINELABS,Financial Services
440,Piramal Pharma Ltd.,PPLPHARMA,Healthcare
441,Poly Medicure Ltd.,POLYMED,Healthcare
442,Poonawalla Fincorp Ltd.,POONAWALLA,Financial Services
443,R R Kabel Ltd.,RRKABEL,Capital Goods
444,RBL Bank Ltd.,RBLBANK,Financial Services
445,RHI MAGNESITA INDIA LTD.,RHIM,Capital Goods
446,RITES Ltd.,RITES,Construction
447,Railtel Corporation Of India Ltd.,RAILTEL,Telecommunication
448,Rainbow Childrens Medicare Ltd.,RAINBOW,Healthcare
449,Ramkrishna Forgings Ltd.,RKFORGE,Automobile and Auto Components
450,Redington Ltd.,REDINGTON,Services
451,Reliance Power Ltd.,RPOWER,Power
452,SBFC Finance Ltd.,SBFC,Financial Services
453,SJVN Ltd.,SJVN,Power
454,Sagility Ltd.,SAGILITY,Information Technology
455,Sai Life Sciences Ltd.,SAILIFE,Healthcare
456,Sammaan Capital Ltd.,SAMMAANCAP,Financial Services
457,Sapphire Foods India Ltd.,SAPPHIRE,Consumer Services
458,Sarda Energy and Minerals Ltd.,SARDAEN,Metals & Mining
459,Saregama India Ltd,SAREGAMA,Media Entertainment & Publication
460,Schneider Electric Infrastructure Ltd.,SCHNEIDER,Capital Goods
461,Shipping Corporation of India Ltd.,SCI,Services
462,Shyam Metalics and Energy Ltd.,SHYAMMETL,Capital Goods
463,Signatureglobal (India) Ltd.,SIGNATURE,Realty
464,Sobha Ltd.,SOBHA,Realty
465,Sona BLW Precision Forgings Ltd.,SONACOMS,Automobile and Auto Components
466,Sonata Software Ltd.,SONATSOFTW,Information Technology
467,Star Health and Allied Insurance Company Ltd.,STARHEALTH,Financial Services
468,Sumitomo Chemical India Ltd.,SUMICHEM,Chemicals
469,Sun TV Network Ltd.,SUNTV,Media Entertainment & Publication
